score_adjusted,bubble_rating,views,location_grade,amenity_count,time_to_booking,Actual_Segment,Predicted_Segment
4.65217391304348,4.5,0,100.0,16,10,High-Price Hotels,High-Price Hotels
4.625,4.5,0,100.0,41,8,High-Price Hotels,High-Price Hotels
4.2962962962963,4.5,0,78.0,8,19,Low-Price Hotels,Low-Price Hotels
4.95714285714286,5.0,0,100.0,15,30,Low-Price Hotels,Low-Price Hotels
3.22222222222222,3.0,0,100.0,22,10,Mid-Price Hotels,Mid-Price Hotels
5.0,5.0,0,46.0,1,12,Low-Price Hotels,Low-Price Hotels
4.61977186311787,4.5,0,100.0,30,8,High-Price Hotels,High-Price Hotels
4.21290322580645,4.0,3,100.0,28,27,Mid-Price Hotels,Mid-Price Hotels
4.67729521715228,4.5,11,100.0,54,15,High-Price Hotels,High-Price Hotels
4.41739130434783,4.5,0,89.0,33,6,High-Price Hotels,High-Price Hotels
4.35890410958904,4.5,9,100.0,34,6,High-Price Hotels,High-Price Hotels
4.09606986899563,4.0,0,100.0,29,6,High-Price Hotels,High-Price Hotels
4.26893939393939,4.5,0,100.0,14,20,Mid-Price Hotels,Mid-Price Hotels
2.25,2.5,0,100.0,7,10,Low-Price Hotels,Low-Price Hotels
4.28571428571429,4.5,0,100.0,18,7,High-Price Hotels,High-Price Hotels
3.75,4.0,0,92.0,17,9,Mid-Price Hotels,High-Price Hotels
4.8768115942029,5.0,0,96.0,19,13,High-Price Hotels,High-Price Hotels
4.52941176470588,4.5,0,100.0,34,22,Mid-Price Hotels,Mid-Price Hotels
4.96542553191489,5.0,0,100.0,38,20,High-Price Hotels,High-Price Hotels
5.0,5.0,0,100.0,12,28,Low-Price Hotels,Low-Price Hotels
3.52777777777778,3.5,0,41.0,40,20,Low-Price Hotels,Low-Price Hotels
4.01027397260274,4.0,0,100.0,26,5,High-Price Hotels,High-Price Hotels
4.62166405023548,4.5,5,100.0,60,14,High-Price Hotels,High-Price Hotels
5.0,5.0,0,55.0,1,28,Low-Price Hotels,Low-Price Hotels
4.5,4.5,0,54.0,28,24,Low-Price Hotels,Low-Price Hotels
4.6,4.5,0,74.0,19,30,Low-Price Hotels,Low-Price Hotels
4.94237588652482,5.0,0,86.0,15,16,Mid-Price Hotels,Mid-Price Hotels
4.71034482758621,4.5,0,100.0,27,8,High-Price Hotels,High-Price Hotels
4.64791901012373,4.5,10,100.0,36,17,High-Price Hotels,High-Price Hotels
2.91304347826087,3.0,0,100.0,0,9,Mid-Price Hotels,Mid-Price Hotels
3.97385620915033,4.0,0,100.0,28,3,High-Price Hotels,High-Price Hotels
3.83870967741935,4.0,0,100.0,7,1,High-Price Hotels,High-Price Hotels
3.94158075601375,4.0,0,100.0,15,2,High-Price Hotels,High-Price Hotels
4.1156852527358,4.0,0,96.0,45,15,High-Price Hotels,High-Price Hotels
4.38202247191011,4.5,0,100.0,14,20,Mid-Price Hotels,Mid-Price Hotels
4.41666666666667,4.5,0,100.0,8,11,High-Price Hotels,Mid-Price Hotels
3.91129032258065,4.0,0,93.0,40,6,High-Price Hotels,High-Price Hotels
4.14285714285714,4.0,0,100.0,4,22,Low-Price Hotels,Low-Price Hotels
5.0,5.0,0,89.0,24,19,Mid-Price Hotels,Mid-Price Hotels
3.75,4.0,0,100.0,11,4,High-Price Hotels,High-Price Hotels
4.0,4.0,0,100.0,0,8,Mid-Price Hotels,Mid-Price Hotels
4.6,4.5,0,91.0,17,29,Low-Price Hotels,Low-Price Hotels
5.0,5.0,0,98.0,11,13,High-Price Hotels,High-Price Hotels
3.66666666666667,3.5,0,56.0,16,22,Low-Price Hotels,Low-Price Hotels
4.35294117647059,4.5,0,43.0,13,14,Low-Price Hotels,Low-Price Hotels
4.07575757575758,4.0,0,100.0,19,25,Low-Price Hotels,Low-Price Hotels
4.03571428571429,4.0,0,100.0,8,13,Mid-Price Hotels,Mid-Price Hotels
4.04624277456647,4.0,0,100.0,35,3,High-Price Hotels,High-Price Hotels
4.51818181818182,4.5,0,100.0,28,30,Low-Price Hotels,Low-Price Hotels
4.45454545454545,4.5,0,100.0,25,8,High-Price Hotels,High-Price Hotels
3.5,3.5,0,100.0,0,12,Mid-Price Hotels,Mid-Price Hotels
4.53571428571429,4.5,0,100.0,21,13,High-Price Hotels,High-Price Hotels
4.22222222222222,4.0,0,100.0,38,18,High-Price Hotels,High-Price Hotels
4.26797385620915,4.5,0,100.0,18,14,Mid-Price Hotels,Mid-Price Hotels
4.57142857142857,4.5,0,39.0,51,10,Mid-Price Hotels,Low-Price Hotels
1.0,1.0,0,100.0,0,30,Low-Price Hotels,Low-Price Hotels
1.0,1.0,0,100.0,8,14,Low-Price Hotels,Low-Price Hotels
4.26,4.5,0,93.0,13,22,Low-Price Hotels,Mid-Price Hotels
4.48407643312102,4.5,0,100.0,6,17,Mid-Price Hotels,Mid-Price Hotels
3.87469879518072,4.0,5,100.0,22,7,High-Price Hotels,High-Price Hotels
4.04545454545455,4.0,0,100.0,12,17,Mid-Price Hotels,Mid-Price Hotels
4.0,4.0,0,87.0,0,25,Low-Price Hotels,Low-Price Hotels
4.59259259259259,4.5,0,100.0,12,5,High-Price Hotels,High-Price Hotels
3.90909090909091,4.0,0,100.0,13,21,Low-Price Hotels,Low-Price Hotels
4.0,4.0,0,99.0,9,2,High-Price Hotels,High-Price Hotels
4.74191634529813,4.5,0,100.0,64,9,High-Price Hotels,High-Price Hotels
3.24137931034483,3.0,0,100.0,7,22,Low-Price Hotels,Low-Price Hotels
4.79785330948122,5.0,2,100.0,19,4,High-Price Hotels,High-Price Hotels
4.75,5.0,0,100.0,25,25,Mid-Price Hotels,Mid-Price Hotels
3.05,3.0,0,87.0,17,30,Low-Price Hotels,Low-Price Hotels
2.66666666666667,2.5,0,89.0,1,9,Low-Price Hotels,Mid-Price Hotels
4.5,4.5,0,85.0,0,11,Mid-Price Hotels,Mid-Price Hotels
4.76595744680851,5.0,0,98.0,28,27,Mid-Price Hotels,Mid-Price Hotels
4.62790697674419,4.5,0,100.0,17,12,High-Price Hotels,High-Price Hotels
4.4,4.5,0,100.0,0,14,Mid-Price Hotels,Mid-Price Hotels
4.27868852459016,4.5,0,100.0,34,29,Low-Price Hotels,Low-Price Hotels
3.38888888888889,3.5,0,100.0,6,15,Mid-Price Hotels,Low-Price Hotels
3.0,3.0,0,100.0,30,23,Low-Price Hotels,Low-Price Hotels
3.16666666666667,3.0,0,100.0,15,7,Mid-Price Hotels,Mid-Price Hotels
4.35384615384615,4.5,0,100.0,14,17,Mid-Price Hotels,Mid-Price Hotels
4.63636363636364,4.5,0,64.0,22,12,Mid-Price Hotels,Mid-Price Hotels
4.84,5.0,0,100.0,32,11,High-Price Hotels,High-Price Hotels
4.3695652173913,4.5,0,100.0,24,12,High-Price Hotels,High-Price Hotels
5.0,5.0,0,100.0,10,17,Mid-Price Hotels,Mid-Price Hotels
2.5,2.5,0,100.0,5,30,Low-Price Hotels,Low-Price Hotels
4.01533154465312,4.0,9,100.0,45,10,High-Price Hotels,High-Price Hotels
3.88,4.0,0,71.0,17,18,Low-Price Hotels,Low-Price Hotels
3.20731707317073,3.0,0,91.0,9,11,Mid-Price Hotels,Mid-Price Hotels
4.61153846153846,4.5,0,100.0,18,14,High-Price Hotels,High-Price Hotels
4.0,4.0,0,100.0,1,21,Low-Price Hotels,Low-Price Hotels
5.0,5.0,0,100.0,10,3,High-Price Hotels,High-Price Hotels
4.8,5.0,0,100.0,31,14,High-Price Hotels,High-Price Hotels
4.65384615384615,4.5,0,95.0,12,17,Mid-Price Hotels,Mid-Price Hotels
3.45,3.5,0,100.0,12,10,Mid-Price Hotels,Mid-Price Hotels
1.6,1.5,0,100.0,5,28,Low-Price Hotels,Low-Price Hotels
3.02380952380952,3.0,0,100.0,10,10,Mid-Price Hotels,Mid-Price Hotels
2.125,2.0,0,100.0,3,28,Low-Price Hotels,Low-Price Hotels
3.14333706606943,3.0,6,100.0,21,16,Mid-Price Hotels,Mid-Price Hotels
4.8,5.0,0,100.0,19,24,Mid-Price Hotels,Mid-Price Hotels
4.97872340425532,5.0,0,100.0,6,19,Mid-Price Hotels,Mid-Price Hotels
